Common Name,Formula,Chemical Name
Carbon dioxide,CO2,
Methane,CH4,
Nitrous oxide,N2O,
Nitrogen trifluoride,NF3,
Sulfur hexafluoride,SF6,
Hydrofluorocarbons (HFCs),,
HFC-23 (R-23),CHF 3,trifluoromethane
HFC-32 (R-32),CH2F2,difluoromethane
HFC-41 (R-41),CH3F,fluoromethane
HFC-125 (R-125),C2HF5,pentafluoroethane
HFC-134 (R-134),C2H2F4,"1,1,2,2-tetrafluoroethane"
HFC-134a (R-134a),C2H2F4,"1,1,1,2-tetrafluoroethane"
HFC-143 (R-143),C2H3F3,"1,1,2-trifluoroethane"
HFC-143a (R-143a),C2H3F3,"1,1,1-trifluoroethane"
HFC-152 (R-152),C2H4F2,"1,2-difluoroethane"
HFC-152a (R-152a),C2H4F2,"1,1-difluoroethane"
HFC-161 (R-161),C2H5F,fluoroethane
HFC-227ea (R-227ea),C3HF7,"1,1,1,2,3,3,3-heptafluoropropane"
HFC-236cb (R-236cb),C3H2F6,"1,1,1,2,2,3-hexafluoropropane"
HFC-236ea (R-236ea),C3H2F6,"1,1,1,2,3,3-hexafluoropropane"
HFC-236fa (R-236fa),C3H2F6,"1,1,1,3,3,3-hexafluoropropane"
HFC-245ca (R-245ca),C3H3F5,"1,1,2,2,3-pentafluoropropane"
HFC-245fa (R-245fa),C3H3F5,"1,1,1,3,3-pentafluoropropane"
HFC-365mfc,C4H5F5,"1,1,1,3,3-pentafluorobutane"
HFC-43-10mee (R-4310),C5H2F10,"1,1,1,2,3,4,4,5,5,5-decafluoropentane"
Perfluorocarbons (PFCs),,
PFC-14 (Perfluoromethane),CF4,tetrafluoromethane
PFC-116 (Perfluoroethane),C2F6,hexafluoroethane
PFC-218 (Perfluoropropane),C3F8,octafluoropropane
PFC-318 (Perfluorocyclobutane),c-C4F8,octafluorocyclobutane
PFC-3-1-10 (Perfluorobutane),C4F10,decafluorobutane
PFC-4-1-12 (Perfluoropentane),C5F12,dodecafluoropentane
PFC-5-1-14 (Perfluorohexane),C6F14,tetradecafluorohexane
PFC-9-1-18 (Perfluorodecalin),C10F18,
