Fuel Category,Fuel Type,Heat Content Units,Heat Content (HHV),CO2 Factor (kg CO2 per mmBtu),CH4 Factor (g CH4 per mmBtu),N2O Factor (g N2O per mmBtu),Biogenic CO2 Factor (kg Biogenic CO2 per mmBtu),AR4 (kgCO2e),AR5 (kgCO2e),Units,Source
Coal and Coke,Anthracite Coal,mmBtu per short ton,25.09,103.69,11,1.6,,104.4418,104.422,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Bituminous Coal,mmBtu per short ton,24.93,93.28,11,1.6,,94.0318,94.012,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Sub-bituminous Coal,mmBtu per short ton,17.25,97.17,11,1.6,,97.9218,97.902,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Lignite Coal,mmBtu per short ton,14.21,97.72,11,1.6,,98.4718,98.452,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Mixed (Commercial Sector),mmBtu per short ton,21.39,94.27,11,1.6,,95.0218,95.002,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Mixed (Electric Power Sector),mmBtu per short ton,19.73,95.52,11,1.6,,96.2718,96.252,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Mixed (Industrial Coking),mmBtu per short ton,26.28,93.9,11,1.6,,94.6518,94.632,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Mixed (Industrial Sector),mmBtu per short ton,22.35,94.67,11,1.6,,95.4218,95.402,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Coal and Coke,Coal Coke,mmBtu per short ton,24.8,113.67,11,1.6,,114.4218,114.402,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Other Fuels - Solid,Municipal Solid Waste,mmBtu per short ton,9.95,90.7,32,4.2,,92.7516,92.709,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Other Fuels - Solid,Petroleum Coke (Solid),mmBtu per short ton,30,102.41,32,4.2,,104.4616,104.419,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Other Fuels - Solid,Plastics,mmBtu per short ton,38,75,32,4.2,,77.0516,77.009,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
Other Fuels - Solid,Tires,mmBtu per short ton,28,85.97,32,4.2,,88.0216,87.979,mmBtu,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 1 Stationary Combustion Emission Factors, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
